Species,Gregariousness,Water.Column,Diet,Habitat,Trophic.Level,BodySize,Activity,Trophic.Level.Cat,BodySize.Cat
Dunckerocampus dactyliophorus,1,1,Planktivore,coral,3.77,19,Night,4,3
Echeneis naucrates,2,4,Piscivore,water column,3.4,110,Day,3,6
Echeneis neucratoides,2,4,Piscivore,water column,3.3,75,Day,3,5
Echidna nebulosa,1,1,Invertivore,coral,4,100,Night,4,6
Echidna nocturna,1,1,Invertivore,coral,3.9,71,Night,4,5
Ecsenius aequalis,1,1,Grazer,coral,2,4.3,Day,1,1
Ecsenius alleni,1,1,Grazer,coral,2,3.4,Day,1,1
Ecsenius australianus,1,1,Grazer,coral,2,6,Day,1,1
Ecsenius bandanus,1,1,Grazer,coral,2,3.4,Day,1,1
Ecsenius bathi,1,1,Grazer,coral,2,4,Day,1,1
Ecsenius bicolor,1,1,Grazer,coral,2,11,Day,1,2
Ecsenius fijiensis,1,1,Omnivore,coral,2,3.9,Day,1,1
Ecsenius fourmanoiri,1,1,Grazer,coral,2,4.9,Day,1,1
Ecsenius frontalis,1,1,Grazer,coral,2,8,Day,1,2
Ecsenius gravieri,1,1,Grazer,coral,2,8,Day,1,2
Ecsenius lineatus,1,1,Grazer,coral,2,9,Day,1,2
Ecsenius lividanalis,1,1,Grazer,coral,2.169605475,5.82,Day,1,1
Ecsenius mandibularis,1,1,Grazer,coral,2,7.5,Day,1,2
Ecsenius midas,1,1,Grazer,coral,2.6,13,Day,2,2
Ecsenius minutus,1,1,Grazer,coral,2,4,Day,1,1
Ecsenius nalolo,1,1,Grazer,coral,2,6.5,Day,1,1
Ecsenius namiyei,1,1,Grazer,coral,2,11,Day,1,2
Ecsenius oculatus,1,1,Grazer,coral,2,4.7,Day,1,1
Ecsenius prooculis,1,1,Grazer,coral,2,3.7,Day,1,1
Ecsenius schroederi,1,1,Grazer,coral,2.169605475,5.82,Day,1,1
Ecsenius ops,1,1,Grazer,coral,2,6,Day,1,1
Ecsenius stictus,1,1,Grazer,coral,2,5.8,Day,1,1
Ecsenius stigmatura,1,1,Grazer,coral,2,6,Day,1,1
Ecsenius tigris,1,1,Grazer,coral,2,5,Day,1,1
Ecsenius trilineatus,1,1,Grazer,coral,2,3,Day,1,1
Ecsenius yaeyamaensis,1,1,Grazer,coral,2,6,Day,1,1
Ekemblemaria myersi,1,1,Invertivore,coral,3.5,7,Day,3,1
Elacatinus evelynae,1,1,Invertivore,coral,3.4,4,Day,3,1
Elacatinus figaro,1,1,Invertivore,coral,3.4,3.4,Day,3,1
Elacatinus genie,1,1,Invertivore,coral,3.4,4.5,Day,3,1
Elacatinus horsti,1,1,Invertivore,coral,3.5,5,Day,3,1
Elacatinus lobeli,1,1,Grazer,coral,3.3,3.5,Day,3,1
Elacatinus oceanops,1,1,Invertivore,coral,3.5,5,Day,3,1
Elacatinus prochilos,1,1,Invertivore,coral,3.2,4,Day,3,1
Elacatinus puncticulatus,1,1,Invertivore,coral,3.5,4.4,Day,3,1
Elacatinus randalli,1,1,Invertivore,coral,3.5,4.6,Day,3,1
Tigrigobius saucrus,1,1,Invertivore,coral,3,2.5,Day,2,1
Elacatinus xanthiprora,1,1,Invertivore,coral,3.4,4,Day,3,1
Elagatis bipinnulata,3,4,Piscivore,water column,3.6,180,Day,4,6
Eleotrica cableae,1,1,Invertivore,sand,3.3,7,Day,3,1
Elops affinis,3,4,Planktivore,water column,4.1,91,Day,5,6
Embiotoca jacksoni,3,3,Invertivore,rock,3.2,39,Day,3,4
Embiotoca lateralis,3,3,Invertivore,rock,3.4,38,Day,3,4
Emblemariopsis signifer,1,1,Planktivore,coral,3.3,3.5,Night,3,1
Enchelycore lichenosa,1,1,Piscivore,coral,4.5,90,Night,5,6
Enchelycore ramosa,1,1,Piscivore,coral,4.7,150,Night,5,6
Engraulis australis,3,4,Planktivore,water column,3,15,Day,2,2
Enneanectes carminalis,1,1,Invertivore,coral,2.8,3,Day,2,1
Enneapterygius atrogulare,1,1,Invertivore,rock,2.7,5,Day,2,1
Enneapterygius flavoccipitis,1,1,Invertivore,coral,3.1,3.2,Day,3,1
Enneapterygius hemimelas,1,1,Invertivore,coral,2.9,4,Day,2,1
Enneapterygius kermadecensis,1,1,Invertivore,rock,2.9,3.3,Day,2,1
Enneapterygius larsonae,1,1,Invertivore,coral,2.9,3.5,Day,2,1
Enneapterygius mirabilis,1,1,Invertivore,coral,3,2.7,Day,2,1
Enneapterygius rufopileus,1,1,Invertivore,rock,2.9,3.6,Day,2,1
Enneapterygius similis,1,1,Invertivore,rock,2.923797376,3.583333333,Day,2,1
Enneapterygius tutuilae,1,1,Invertivore,coral,3.4,4,Day,3,1
Enophrys diceraus,1,1,Grazer,rock,3.3,32,Day,3,4
Enoplosus armatus,2,2,Invertivore,rock,3.4,50,Day,3,4
Eocallionymus papilio,1,1,Invertivore,rock,3.3,13,Day,3,2
Epibulus brevis,1,2,Invertivore,coral,3.6,18.5,Day,4,3
Epibulus insidiator,1,2,Invertivore,coral,3.8,54,Day,4,5
Epinephelides armatus,1,2,Piscivore,rock,3.9,56,Day,4,5
Epinephelus guttatus,1,1,Piscivore,coral,3.84,76,Day,4,5
Epinephelus adscensionis,1,2,Piscivore,coral,3.5,61,Day,3,5
Epinephelus analogus,1,2,Piscivore,coral,3.8,104,Day,4,6
Epinephelus areolatus,1,2,Piscivore,rock,3.6,47,Day,4,4
Epinephelus bilobatus,1,2,Piscivore,coral,3.7,33,Day,4,4
Epinephelus bleekeri,1,2,Piscivore,coral,3.9,76,Day,4,5
Epinephelus coeruleopunctatus,1,2,Invertivore,coral,3.7,76,Day,4,5
Epinephelus coioides,1,2,Piscivore,coral,3.9,120,Day,4,6
Epinephelus corallicola,1,2,Piscivore,coral,3.8,49,Day,4,4
Epinephelus costae,1,2,Piscivore,rock,3.9,140,Day,4,6
Epinephelus cyanopodus,1,2,Piscivore,coral,4.1,122,Day,5,6
Epinephelus daemelii,1,2,Piscivore,coral,4,200,Day,4,6
Epinephelus fasciatus,1,2,Invertivore,coral,3.7,40,Day,4,4
Epinephelus fuscoguttatus,1,2,Piscivore,coral,4.1,120,Day,5,6
Epinephelus hexagonatus,1,2,Piscivore,coral,4.1,27.5,Day,5,3
Epinephelus howlandi,1,2,Piscivore,coral,4,55,Day,4,5
Epinephelus irroratus,1,2,Piscivore,coral,3.7,27.7,Day,4,3
Epinephelus itajara,1,2,Invertivore,coral,4.1,250,Day,5,6
Epinephelus labriformis,1,2,Piscivore,coral,4,60,Day,4,5
Epinephelus lanceolatus,1,2,Piscivore,coral,3.868829583,85.1,Day,4,6
Epinephelus longispinis,1,2,Piscivore,coral,4.2,55,Day,5,5
Epinephelus macrospilos,1,2,Piscivore,coral,3.8,51,Day,4,5
Epinephelus maculatus,1,2,Piscivore,coral,3.9,60.5,Day,4,5
Epinephelus malabaricus,1,2,Piscivore,coral,3.8,234,Day,4,6
Epinephelus marginatus,1,2,Piscivore,rock,3.7,150,Day,4,6
Epinephelus melanostigma,1,2,Piscivore,coral,4,35,Day,4,4
Epinephelus merra,1,2,Piscivore,coral,3.8,31,Day,4,4
Epinephelus morio,1,2,Piscivore,coral,3.5,125,Day,3,6
Epinephelus multinotatus,1,2,Piscivore,coral,3.9,100,Day,4,6
Hyporthodus octofasciatus,1,2,Piscivore,coral,4,130,Day,4,6
Epinephelus ongus,1,2,Piscivore,coral,3.7,40,Day,4,4
Epinephelus polyphekadion,1,2,Piscivore,coral,3.9,90,Day,4,6
Epinephelus quoyanus,1,2,Piscivore,coral,4,40,Day,4,4
Epinephelus rivulatus,1,2,Piscivore,coral,3.6,46,Day,4,4
Epinephelus socialis,1,2,Piscivore,coral,4.2,52,Day,5,5
Epinephelus spilotoceps,1,2,Piscivore,coral,3.7,35,Day,4,4
Epinephelus striatus,1,2,Piscivore,coral,4.1,122,Day,5,6
Epinephelus tauvina,1,2,Piscivore,coral,4.1,75,Day,5,5
Epinephelus trimaculatus,1,1,Piscivore,coral,4,50,Day,4,4
Epinephelus tukula,1,2,Piscivore,coral,4.2,200,Day,5,6
Epinephelus undulatostriatus,1,2,Piscivore,rock,3.8,61,Day,4,5
Equetus punctatus,3,1,Invertivore,coral,3.5,27,Night,3,3
Eubalichthys bucephalus,2,2,Grazer,rock,2.8,50,Day,2,4
Eubalichthys caeruleoguttatus,1,2,Omnivore,rock,2.8,38,Day,2,4
Eubalichthys cyanoura,1,2,Omnivore,rock,2.8,42,Day,2,4
Eubalichthys gunnii,2,2,Grazer,rock,2.8,60,Day,2,5
Eubalichthys mosaicus,1,2,Grazer,rock,2.8,60,Day,2,5
Eucinostomus dowii,2,3,Invertivore,sand,3.2,20,Night,3,3
Eupetrichthys angustipes,1,2,Invertivore,rock,3.4,20,Day,3,3
Euthynnus affinis,3,4,Piscivore,water column,4.5,100,Day,5,6
Euthynnus lineatus,3,4,Piscivore,water column,3.8,84,Day,4,6
Eutrigla gurnardus,1,1,Invertivore,sand,3.6,60,Night,4,5
Eviota albolineata,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota atriventris,1,1,Invertivore,coral,3,1.7,Day,2,1
Eviota bifasciata,1,1,Invertivore,coral,3.2,3.5,Day,3,1
Eviota bimaculata,1,1,Invertivore,coral,3,2.5,Day,2,1
Eviota fasciola,1,1,Grazer,rock,3.111896135,2.714285714,Day,3,1
Eviota guttata,1,1,Invertivore,coral,3.1,2.5,Day,3,1
Eviota hoesei,1,1,Invertivore,coral,3,2.1,Day,2,1
Eviota lachdeberei,1,1,Grazer,coral,3.1,3,Day,3,1
Eviota latifasciata,1,1,Invertivore,coral,3,3,Day,2,1
Eviota melasma,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota mikiae,1,1,Invertivore,coral,3.1,3.5,Day,3,1
Eviota nigriventris,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota pellucida,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota prasites,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota raja,1,1,Grazer,coral,3.1,3,Day,3,1
Eviota readerae,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota rubriceps,1,1,Grazer,coral,3,1.35,Day,2,1
Eviota sebreei,1,1,Invertivore,coral,3.1,2.5,Day,3,1
Eviota sigillata,1,1,Invertivore,coral,3.1,3,Day,3,1
Eviota queenslandica,1,1,Invertivore,coral,3.1,2.714285714,Day,3,1
Eviota storthynx,1,1,Invertivore,rock,3.1,2.5,Day,3,1
Eviota zebrina,1,1,Grazer,coral,3.1,3,Day,3,1
Evistias acutirostris,3,2,Invertivore,rock,3.5,90,Day,3,6
Exallias brevis,1,1,Corallivore,coral,3,14.5,Day,2,2
Exyrias belissimus,1,1,Invertivore,sand,2.8,15,Day,2,2
Favonigobius lateralis,1,1,Invertivore,sand,3.5,9,Day,3,2
Fistularia commersonii,1,2,Piscivore,sand,4.3,160,Day,5,6
Fistularia petimba,1,2,Piscivore,sand,4.5,200,Day,5,6
Fistularia tabacaria,1,2,Piscivore,coral,3.5,200,Day,3,6
Foetorepus calauropomus,1,1,Invertivore,sand,3.4,35,Day,3,4
Forcipiger flavissimus,1,2,Invertivore,coral,3.1,22,Day,3,3
Forcipiger longirostris,1,2,Invertivore,coral,3.5,22,Day,3,3
Forsterygion flavonigrum,1,1,Invertivore,rock,3.3,5,Day,3,1
Forsterygion lapillum,1,1,Invertivore,rock,3.2,6.7,Day,3,1
Forsterygion malcolmi,1,1,Invertivore,rock,3.4,12.2,Day,3,2
Forsterygion maryannae,1,2,Planktivore,rock,3.2,5.9,Day,3,1
Forsterygion varium,1,1,Invertivore,rock,3.4,15,Day,3,2
Furcina osimae,1,1,Invertivore,rock,3.3,8,Day,3,2
Fusigobius duospilus,1,1,Omnivore,sand,3.2,6,Day,3,1
Fusigobius inframaculatus,1,1,Grazer,sand,3.2,4.6,Day,3,1
Fusigobius maximus,1,1,Grazer,sand,3.3,7.5,Day,3,2
Fusigobius melacron,1,1,Grazer,sand,3.2,5,Day,3,1
Fusigobius neophytus,1,1,Omnivore,sand,2.6,7.5,Day,2,2
Fusigobius signipinnis,1,1,Omnivore,sand,3.2,4.9,Day,3,1
Gadus morhua,2,2,Piscivore,rock,4.4,200,Night,5,6
Gasterosteus aculeatus,3,1,Planktivore,rock,3.5,18,Day,3,3
Genicanthus caudovittatus,1,2,Invertivore,coral,3.4,20,Day,3,3
Genicanthus lamarck,3,2,Planktivore,coral,3.4,25,Day,3,3
Genicanthus melanospilos,3,2,Planktivore,coral,3.4,18,Day,3,3
Genicanthus semicinctus,2,2,Planktivore,coral,3.4,20,Day,3,3
Genicanthus watanabei,2,2,Planktivore,coral,3.4,15,Day,3,2
Genypterus tigerinus,1,1,Piscivore,rock,4.1,120,Night,5,6
Gerres cinereus,2,3,Invertivore,sand,3.3,41,Night,3,4
Gerres equulus,2,3,Invertivore,sand,3.1,22.4,Night,3,3
Gerres oblongus,1,1,Grazer,sand,3.5,32,Day,3,4
Gerres subfasciatus,2,3,Invertivore,sand,3.3,22,Night,3,3
Girella cyanea,3,3,Grazer,coral,2,76,Day,1,5
Girella elevata,3,2,Grazer,rock,2,76,Day,1,5
Girella fimbriata,1,2,Grazer,rock,2,36,Day,1,4
Girella freminvillii,3,3,Grazer,coral,2,45,Day,1,4
Girella nigricans,3,2,Grazer,rock,2.2,66,Day,1,5
Girella punctata,3,2,Grazer,rock,2.9,50,Day,2,4
Girella simplicidens,1,1,Grazer,rock,2.8,46,Day,2,4
Girella tephraeops,2,2,Grazer,rock,2,61,Day,1,5
Girella tricuspidata,3,2,Grazer,rock,2,71,Day,1,5
Girella zebra,3,2,Grazer,rock,2,54,Day,1,5
Glaucosoma hebraicum,1,3,Piscivore,rock,4.3,122,Night,5,6
Glaucosoma magnificum,3,3,Invertivore,coral,4.1,32,Night,5,4
Glaucosoma scapulare,1,3,Piscivore,rock,4.3,70,Night,5,5
Glyptoparus delicatulus,1,1,Grazer,coral,2,5,Day,1,1
Gnathanacanthus goetzeei,1,1,Invertivore,rock,3.6,46,Day,4,4
Gnathanodon speciosus,3,4,Invertivore,water column,3.8,120,Day,4,6
Gnathodentex aureolineatus,3,2,Invertivore,coral,3.3,30,Day,3,3
Gnatholepis anjerensis,1,1,Omnivore,sand,2.2,8.4,Day,1,2
Gnatholepis cauerensis,1,1,Omnivore,sand,3.148550725,9,Day,3,2
Gnatholepis thompsoni,1,1,Omnivore,sand,2.3,8.2,Day,1,2
Gobiodon citrinus,2,1,Invertivore,coral,3.3,6.6,Day,3,1
Gobiodon heterospilos,1,1,Grazer,coral,3.5,4,Day,3,1
Gobiodon histrio,2,1,Invertivore,coral,3.2,3.5,Day,3,1
Gobiodon okinawae,2,1,Invertivore,coral,3.3,4.866666667,Day,3,1
Gobiodon quinquestrigatus,2,1,Invertivore,coral,3.4,4.5,Day,3,1
Gobiodon spilophthalmus,2,1,Invertivore,coral,3.3,4.866666667,Day,3,1
Gobius bucchichi,1,1,Omnivore,sand,3.1,10,Day,3,2
Gobius cruentatus,1,1,Invertivore,sand,3.1,18,Day,3,3
Gobius fallax,1,1,Invertivore,sand,3.3,9,Day,3,2
Gobius niger,1,1,Invertivore,sand,3.2,18,Day,3,3
Gobius paganellus,1,1,Omnivore,sand,3.3,12,Day,3,2
Gobius xanthocephalus,1,1,Omnivore,sand,3.1,10,Day,3,2
Gomphosus caeruleus,1,2,Invertivore,coral,3.5,30,Day,3,3
Gomphosus varius,1,2,Invertivore,coral,3.6,30,Day,4,3
Gorgasia galzini,1,1,Planktivore,sand,3.725,105.6,Night,4,6
Gracila albomarginata,1,2,Piscivore,coral,4.2,40,Day,5,4
Forsterygion capito,1,1,Invertivore,rock,3.3,9.4,Day,3,2
Forsterygion gymnotum,1,1,Invertivore,rock,3.3,6.7,Day,3,1
Gramma brasiliensis,1,3,Invertivore,coral,3.4,6.6,Day,3,1
Gramma loreto,1,3,Invertivore,coral,3.3,8,Day,3,2
Grammatorcynus bicarinatus,3,4,Piscivore,water column,4.5,112,Day,5,6
Grammatorcynus bilineatus,2,4,Piscivore,water column,4.2,100,Day,5,6
Grammistes sexlineatus,1,2,Piscivore,coral,4,30,Day,4,3
Gunnellichthys monostigma,1,1,Planktivore,sand,3.3,16,Day,3,3
Gymnocaesio gymnoptera,3,3,Planktivore,coral,3.4,18,Day,3,3
Gymnocanthus tricuspis,1,1,Piscivore,coral,3.5,30,Day,3,3
Gymnoclinus cristulatus,1,1,Invertivore,rock,3.3,12,Day,3,2
Gymnocranius audleyi,1,2,Invertivore,sand,3.582575758,45,Day,4,4
Gymnocranius euanus,1,2,Invertivore,sand,3.016666667,70,Day,3,5
Gymnocranius microdon,1,2,Invertivore,sand,3.4,45,Day,3,4
Gymnocrotaphus curvidens,2,2,Grazer,rock,3.4,50,Day,3,4
Gymnomuraena zebra,1,1,Invertivore,coral,3.4,150,Night,3,6
Gymnosarda unicolor,3,4,Piscivore,water column,4.5,248,Day,5,6
Gymnothorax annasona,1,1,Invertivore,coral,3.9,55.3,Night,4,5
Gymnothorax breedeni,1,1,Piscivore,coral,4.5,100,Night,5,6
Gymnothorax castaneus,1,1,Invertivore,coral,4,150,Night,4,6
Gymnothorax cribroris,1,1,Invertivore,rock,4,75,Night,4,5
Gymnothorax dovii,1,1,Piscivore,coral,4.3,170,Night,5,6
Gymnothorax eurostus,1,1,Invertivore,coral,4.1,60,Night,5,5
Gymnothorax favagineus,1,1,Invertivore,coral,4.2,300,Night,5,6
Gymnothorax fimbriatus,1,1,Invertivore,coral,4,80,Night,4,5
Gymnothorax flavimarginatus,1,1,Invertivore,coral,4.2,240,Night,5,6
Gymnothorax funebris,1,1,Invertivore,coral,4,250,Night,4,6
Gymnothorax javanicus,1,1,Invertivore,coral,3.9,300,Night,4,6
Gymnothorax meleagris,1,1,Piscivore,coral,4.5,120,Night,5,6
Gymnothorax miliaris,1,1,Invertivore,coral,3.9,70,Night,4,5
Gymnothorax moringa,1,1,Piscivore,coral,4.5,200,Night,5,6
Gymnothorax nubilus,1,1,Invertivore,coral,3.9,53.5,Night,4,5
Gymnothorax obesus,1,1,Piscivore,coral,4.3,180,Night,5,6
Gymnothorax panamensis,1,1,Invertivore,coral,4,70,Night,4,5
Gymnothorax pictus,1,1,Invertivore,coral,4.2,140,Night,5,6
Gymnothorax porphyreus,1,1,Invertivore,rock,3.8,34.6,Night,4,4
Gymnothorax prasinus,1,1,Invertivore,rock,3.6,97,Night,4,6
Gymnothorax prionodon,1,1,Invertivore,coral,4.2,150,Night,5,6
Gymnothorax thyrsoideus,1,1,Invertivore,coral,4,66,Night,4,5
Gymnothorax undulatus,1,1,Invertivore,coral,3.6,150,Night,4,6
Gymnothorax unicolor,1,1,Invertivore,rock,3.4,100,Night,3,6
Gymnothorax zonipectis,1,1,Invertivore,rock,3.9,50,Night,4,4
Haemulon album,3,2,Invertivore,coral,3.2,79,Night,3,5
Haemulon aurolineatum,3,2,Invertivore,coral,3.2,25,Night,3,3
Haemulon carbonarium,2,2,Invertivore,coral,3.3,36,Night,3,4
Haemulon chrysargyreum,3,2,Invertivore,coral,3.3,23,Night,3,3
Haemulon flaviguttatum,3,2,Invertivore,coral,4.2,42,Night,5,4
Haemulon flavolineatum,3,2,Invertivore,coral,3.3,30,Night,3,3
Haemulon macrostomum,3,2,Invertivore,coral,3.3,43,Night,3,4
Haemulon maculicauda,3,2,Invertivore,coral,4.2,30,Night,5,3
Haemulon melanurum,3,2,Invertivore,coral,2.2,33,Night,1,4
Haemulon parra,3,2,Invertivore,coral,3.5,41.2,Night,3,4
Haemulon plumierii,3,2,Invertivore,coral,3.597435897,53,Night,4,5
Haemulon sciurus,3,2,Invertivore,coral,3.4,46,Night,3,4
Haemulon scudderii,3,2,Invertivore,coral,3.597435897,35,Night,4,4
Haemulon sexfasciatum,3,2,Invertivore,coral,4.2,71,Night,5,5
Haemulon steindachneri,3,2,Invertivore,coral,3.5,30,Night,3,3
Haletta semifasciata,1,2,Omnivore,rock,3.2,41,Day,3,4
Halichoeres adustus,1,2,Invertivore,coral,3.4,12.5,Day,3,2
Halichoeres argus,1,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres biocellatus,1,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres bivittatus,1,2,Invertivore,coral,3.3,35,Day,3,4
Halichoeres brasiliensis,1,2,Invertivore,coral,3.4,19,Day,3,3
Halichoeres brownfieldi,3,2,Invertivore,sand,3.4,15,Day,3,2
Halichoeres chierchiae,1,2,Invertivore,coral,3.5,17.5,Day,3,3
Halichoeres chloropterus,1,2,Invertivore,coral,3.4,19,Day,3,3
Halichoeres chrysus,1,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres cosmetus,1,2,Invertivore,coral,3.4,13,Day,3,2
Halichoeres cyanocephalus,1,1,Invertivore,coral,3.59,30,Day,4,3
Halichoeres dimidiatus,1,2,Invertivore,coral,3.4,18,Day,3,3
Halichoeres discolor,1,2,Invertivore,coral,3.4,15,Day,3,2
Halichoeres dispilus,1,2,Invertivore,sand,3.9,25,Day,4,3
Halichoeres erdmanni,1,2,Invertivore,coral,3.130447761,18,Day,3,3
Halichoeres garnoti,2,2,Invertivore,sand,3.5,19.3,Day,3,3
Halichoeres hartzfeldii,1,2,Invertivore,sand,3.5,18,Day,3,3
Halichoeres hortulanus,1,2,Invertivore,coral,3.4,27,Day,3,3
Halichoeres iridis,1,2,Invertivore,coral,3.4,11.5,Day,3,2
Halichoeres leucoxanthus,1,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres leucurus,1,2,Invertivore,coral,3.4,13,Day,3,2
Halichoeres maculipinna,1,2,Invertivore,coral,3.3,18,Day,3,3
Halichoeres margaritaceus,1,2,Invertivore,coral,3.7,12.5,Day,4,2
Halichoeres marginatus,1,2,Invertivore,coral,3.3,18,Day,3,3
Halichoeres melanochir,1,2,Invertivore,coral,3.4,18,Day,3,3
Halichoeres melanurus,1,2,Invertivore,coral,3.2,12,Day,3,2
Halichoeres melasmapomus,1,2,Invertivore,coral,3.5,24,Day,3,3
Halichoeres miniatus,2,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres nebulosus,1,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres nicholsi,1,2,Invertivore,coral,4,38,Day,4,4
Halichoeres nigrescens,2,2,Invertivore,coral,3.4,14,Day,3,2
Halichoeres notospilus,1,2,Invertivore,coral,3.5,25.4,Day,3,3
Halichoeres orientalis,1,2,Invertivore,coral,3.3,7.6,Day,3,2
Halichoeres ornatissimus,1,2,Invertivore,coral,3.1,18,Day,3,3
Halichoeres pictus,1,2,Invertivore,coral,3.5,13,Day,3,2
Halichoeres poeyi,1,2,Invertivore,coral,3.4,20,Day,3,3
Halichoeres prosopeion,1,2,Invertivore,coral,3.4,13,Day,3,2
Halichoeres radiatus,1,2,Invertivore,coral,3.3,51,Day,3,5
Halichoeres richmondi,1,2,Invertivore,coral,3.5,19,Day,3,3
Halichoeres salmofasciatus,1,2,Invertivore,coral,3.3,6.3,Day,3,1
Halichoeres scapularis,1,2,Invertivore,coral,3.5,20,Day,3,3
Halichoeres semicinctus,1,2,Invertivore,rock,3.3,38,Day,3,4
Halichoeres solorensis,1,2,Invertivore,coral,3.5,18,Day,3,3
Halichoeres tenuispinis,1,2,Invertivore,rock,3.4,13.6,Day,3,2
Halichoeres timorensis,1,2,Invertivore,coral,3.4,12,Day,3,2
Halichoeres trimaculatus,1,2,Invertivore,coral,3.5,27,Day,3,3
Halichoeres trispilus,1,1,Invertivore,rock,3.3,9,Day,3,2
Helcogramma albimacula,1,1,Invertivore,coral,3,4.2,Day,2,1
Helcogramma chica,1,1,Invertivore,coral,3,3.1,Day,2,1
Helcogramma decurrens,1,1,Invertivore,rock,3.1,7,Day,3,1
Helcogramma maldivensis,1,1,Invertivore,coral,3,2.8,Day,2,1
Helcogramma springeri,1,1,Invertivore,coral,3,3.4,Day,2,1
Helcogramma striata,1,1,Invertivore,coral,3.4,4.3,Day,3,1
Helcogrammoides cunninghami,1,1,Invertivore,rock,3.3,5,Day,3,1
Helicolenus percoides,1,1,Piscivore,rock,4,47,Day,4,4
Hemiglyphidodon plagiometopon,2,2,Planktivore,coral,2,18,Day,1,3
Hemigymnus fasciatus,1,2,Invertivore,coral,3.2,80,Day,3,5
Hemigymnus melapterus,1,2,Invertivore,coral,3.3,90,Day,3,6
Hemiramphus depauperatus,3,4,Planktivore,water column,3.3,34.6,Night,3,4
Hemitaurichthys multispinosus,3,2,Planktivore,coral,3.4,20,Day,3,3
Hemitaurichthys polylepis,3,2,Planktivore,coral,3.1,18,Day,3,3
Hemitaurichthys thompsoni,3,2,Planktivore,coral,3,18,Day,2,3
Hemitaurichthys zoster,3,2,Planktivore,coral,3.1,18,Day,3,3
Heniochus acuminatus,2,2,Planktivore,coral,3.5,25,Day,3,3
Heniochus chrysostomus,2,2,Invertivore,coral,3.3,18,Day,3,3
Heniochus diphreutes,3,2,Planktivore,coral,3.4,21,Day,3,3
Heniochus intermedius,2,2,Invertivore,coral,3.5,18,Day,3,3
Heniochus monoceros,2,2,Invertivore,coral,3.5,24,Day,3,3
Heniochus pleurotaenia,2,2,Invertivore,coral,3.5,17,Day,3,3
Heniochus singularius,2,2,Invertivore,coral,3.6,30,Day,4,3
Heniochus varius,2,2,Invertivore,coral,3.2,19,Day,3,3
Heteroclinus adelaidae,1,1,Invertivore,rock,3.5,9,Day,3,2
Heteroclinus johnstoni,1,1,Invertivore,rock,4,40,Day,4,4
Heteroclinus perspicillatus,1,1,Invertivore,rock,3.5,20,Day,3,3
Heteroclinus roseus,1,1,Invertivore,rock,3.7,15,Day,4,2
Heteroclinus tristis,1,1,Piscivore,rock,4.3,30,Day,5,3
Heteroconger hassi,1,1,Planktivore,sand,3.3,40,Night,3,4
Heteroconger klausewitzi,1,1,Planktivore,sand,3.4,70,Day,3,5
Heteropriacanthus cruentatus,2,2,Piscivore,coral,3.8,50.7,Night,4,5
Heteroscarus acroptilus,1,2,Omnivore,rock,3.5,40,Day,3,4
Heterostichus rostratus,1,1,Invertivore,rock,3.9,61,Day,4,5
Hexagrammos agrammus,1,2,Invertivore,rock,3.3,30,Day,3,3
Hexagrammos decagrammus,1,2,Invertivore,rock,3.6,61,Day,4,5
Hexagrammos otakii,1,2,Invertivore,rock,3.9,57,Day,4,5
Hexagrammos stelleri,1,2,Invertivore,rock,3.3,48,Day,3,4
Hippocampus abdominalis,1,1,Invertivore,rock,3.4,35,Day,3,4
Hippocampus bargibanti,1,1,Planktivore,coral,3.4,4.5,Night,3,1
Hippocampus ingens,1,1,Invertivore,rock,3.3,30,Day,3,3
Hippocampus whitei,1,1,Invertivore,rock,3.4,15,Day,3,2
Hipposcarus harid,3,2,Microphage,coral,2,75,Day,1,5
Hipposcarus longiceps,3,2,Microphage,coral,2,60,Day,1,5
Holacanthus bermudensis,1,2,Invertivore,coral,3.3,45,Day,3,4
Holacanthus ciliaris,1,2,Invertivore,coral,3,45,Day,2,4
Holacanthus passer,1,2,Omnivore,coral,2.6,35.6,Day,2,4
Holacanthus tricolor,1,2,Invertivore,coral,3,35,Day,2,4
Holocentrus adscensionis,2,2,Invertivore,coral,3.5,61,Night,3,5
Holocentrus rufus,2,2,Invertivore,coral,3.5,35,Night,3,4
Hologymnosus annulatus,1,2,Piscivore,coral,4.2,40,Day,5,4
Hologymnosus doliatus,1,2,Invertivore,coral,3.8,50,Day,4,4
Hoplolatilus cuniculus,1,2,Planktivore,sand,3.3,15,Night,3,2
Hoplolatilus starcki,1,2,Planktivore,sand,3.3,15,Day,3,2
Hoplopagrus guentherii,2,2,Invertivore,coral,3.7,92,Day,4,6
Hyperlophus vittatus,3,4,Planktivore,water column,3.4,10,Day,3,2
